City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Progreso,MX,21.2833,-89.6667,79.11,81,16,11.01,few clouds
Port Alfred,ZA,-33.5906,26.891,61.2,71,97,11.16,overcast clouds
Cape Town,ZA,-33.9258,18.4232,55.89,92,40,8.01,light rain
Umm Lajj,SA,25.0213,37.2685,86.22,72,37,3.49,scattered clouds
Cabo San Lucas,MX,22.8909,-109.9124,89.91,45,0,11.5,clear sky
Erfurt,DE,50.9833,11.0333,58.77,73,0,6.91,clear sky
Karasjok,NO,69.4719,25.5112,49.33,85,100,1.83,overcast clouds
Manicore,BR,-5.8092,-61.3003,79.88,44,42,3.6,scattered clouds
Tiksi,RU,71.6872,128.8694,41.5,85,100,11.41,overcast clouds
Luneville,FR,48.6,6.5,62.49,78,100,8.5,overcast clouds
Makakilo City,US,21.3469,-158.0858,84.52,61,0,10.36,clear sky
Leningradskiy,RU,69.3833,178.4167,34.77,99,100,6.85,light snow
Flinders,AU,-34.5833,150.8552,64.18,49,4,15.01,clear sky
Shibetsu,JP,43.659,145.132,61.86,79,100,7.83,overcast clouds
Ogdensburg,US,44.6942,-75.4863,72.01,94,0,0,clear sky
Ancud,CL,-41.8697,-73.8203,39.22,86,4,8.19,clear sky
Bulawayo,ZW,-20.15,28.5833,56.39,48,0,5.48,clear sky
Talcahuano,CL,-36.7167,-73.1167,51.48,100,100,5.75,overcast clouds
Visim,RU,57.6488,59.5014,63.27,70,50,2.21,scattered clouds
Sitka,US,57.0531,-135.33,57.09,88,100,10.36,heavy intensity rain
Tasiilaq,GL,65.6145,-37.6368,41.16,74,99,1.48,overcast clouds
Tutoia,BR,-2.7619,-42.2744,78.46,82,0,11.81,clear sky
Ola,RU,59.5833,151.2833,64.15,85,98,11.34,overcast clouds
Srednekolymsk,RU,67.45,153.6833,63,47,100,2.84,overcast clouds
Ilo,PE,-17.6394,-71.3375,59.07,85,99,3.6,overcast clouds
Nioro,GM,13.35,-15.75,74.62,96,100,5.28,overcast clouds
Matias Romero,MX,16.8833,-95.0333,74.79,89,87,7.49,overcast clouds
Santa Vitoria,BR,-18.8386,-50.1214,75.47,34,0,2.35,clear sky
Tautira,PF,-17.7333,-149.15,76.12,81,94,27.67,light rain
Saldanha,ZA,-33.0117,17.9442,54.66,93,3,11.16,clear sky
Tambura,SS,5.6,27.4667,66.83,97,17,3.74,few clouds
Tromso,NO,69.6496,18.957,47.37,87,10,2.3,clear sky
Bowen,AU,-20.0167,148.2333,75.45,75,71,7.87,broken clouds
Rosario Oeste,BR,-14.8361,-56.4275,78.66,33,79,3.89,broken clouds
Severo-Kurilsk,RU,50.6789,156.125,58.24,82,97,2.53,overcast clouds
Santa Rita,BR,-7.1139,-34.9781,72.27,94,20,6.91,few clouds
Effium,NG,6.6292,8.0593,72.14,92,100,4.56,overcast clouds
Palembang,ID,-2.9167,104.7458,80.69,78,20,4.61,few clouds
Fukuma,JP,33.7667,130.4667,89.29,69,27,11.63,scattered clouds
Hambantota,LK,6.1241,81.1185,77.34,100,20,8.05,few clouds
Ciudad Bolivar,VE,8.1222,-63.5497,77.14,87,87,9.69,overcast clouds
Viedma,AR,-40.8135,-62.9967,45.93,59,80,11.86,broken clouds
Culfa,AZ,38.9558,45.6308,78.67,48,0,3.56,clear sky
Fare,PF,-16.7,-151.0167,76.84,79,58,23.64,light rain
Kahului,US,20.8947,-156.47,91.42,43,20,14.97,few clouds
Yei,SS,4.095,30.6779,64.51,94,48,2.39,scattered clouds
Hithadhoo,MV,-0.6,73.0833,82.08,73,100,12.41,overcast clouds
Vanimo,PG,-2.6741,141.3028,83.89,65,100,2.01,overcast clouds
Imbituba,BR,-28.24,-48.6703,58.08,87,100,10.56,overcast clouds
Puri,IN,19.8,85.85,81.12,76,94,5.99,overcast clouds
Constitucion,CL,-35.3333,-72.4167,53.02,96,100,1.63,overcast clouds
Khorixas,NA,-20.3667,14.9667,66.63,22,5,6.82,clear sky
Chokurdakh,RU,70.6333,147.9167,57.4,47,8,5.5,clear sky
Valparaiso,CL,-33.0393,-71.6273,51.44,93,75,1.14,light rain
Aklavik,CA,68.2191,-135.0107,77.94,34,91,8.95,overcast clouds
Naron,ES,43.5167,-8.1528,66.56,77,72,16.4,broken clouds
Kupang,ID,-10.1667,123.5833,81.45,60,85,7.16,overcast clouds
Turukhansk,RU,65.8167,87.9833,65.16,63,81,6.73,broken clouds
Hurricane,US,37.1753,-113.2899,90.7,42,77,9.44,broken clouds
Namatanai,PG,-3.6667,152.4333,84.65,65,99,2.01,overcast clouds
Rabat,MA,33.9911,-6.8401,71.15,95,75,0,broken clouds
Mount Gambier,AU,-37.8333,140.7667,54.23,85,16,4.05,light rain
Mardin,TR,37.3131,40.7436,72.66,44,0,3.44,clear sky
Thoen,TH,17.6129,99.2161,80.73,82,100,3.02,overcast clouds
Flin Flon,CA,54.7682,-101.865,47.8,88,100,14.99,overcast clouds
Semnan,IR,35.5729,53.3971,79.74,33,1,1.83,clear sky
Burhaniye,TR,39.5004,26.9727,75.11,64,0,20.71,clear sky
La Ronge,CA,55.1001,-105.2842,57.42,72,75,6.91,broken clouds
Bambanglipuro,ID,-7.95,110.2833,80.29,70,26,5.01,scattered clouds
Sao Joao Da Barra,BR,-21.6403,-41.0511,70.77,83,1,21.41,clear sky
Praia Da Vitoria,PT,38.7333,-27.0667,73.76,97,95,11.52,overcast clouds
Narsaq,GL,60.9167,-46.05,48.42,95,100,2.75,overcast clouds
Tungor,RU,53.3808,142.9564,62.82,71,74,22.64,broken clouds
Biak,ID,-0.9131,122.8766,76.19,81,100,0.85,overcast clouds
Barsovo,RU,61.1667,73.1667,64.53,79,99,3.69,overcast clouds
Adwa,ET,14.1646,38.8955,61.03,94,100,2.93,light rain
Saint George,US,37.1041,-113.5841,92.62,35,0,10.36,clear sky
Shingu,JP,33.7333,135.9833,83.84,75,64,7.09,broken clouds
Dangriga,BZ,16.9692,-88.2321,79.54,82,100,13.24,overcast clouds
Camacha,PT,33.0833,-16.3333,67.42,83,75,9.22,broken clouds
Iskateley,RU,67.6803,53.1512,60.08,85,100,6.42,overcast clouds
Nome,US,64.5011,-165.4064,53.67,66,100,17.27,overcast clouds
Finschhafen,PG,-6.6024,147.8681,85.32,66,100,8.88,overcast clouds
Erzin,TR,36.9559,36.2,74.53,89,5,1.32,clear sky
El Triunfo,EC,-1.9333,-79.9667,75.24,78,74,6.4,broken clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,73.13,40,100,14.97,overcast clouds
San Patricio,US,28.017,-97.5169,84.29,66,100,13.02,overcast clouds
Kismayo,SO,-0.3582,42.5454,74.46,76,11,17.78,few clouds
Laguna,US,38.421,-121.4238,89.46,54,0,13.8,clear sky
Kirakira,SB,-10.4544,161.9205,85.32,69,93,13.38,overcast clouds
Qaanaaq,GL,77.484,-69.3632,37.62,69,13,2.21,few clouds
Teguise,ES,29.0605,-13.564,68.22,83,0,27.63,clear sky
Rodos,GR,36.4408,28.2225,77.79,84,0,13.8,clear sky
Cabedelo,BR,-6.9811,-34.8339,72.27,82,5,10.63,clear sky
Rupert,US,42.6191,-113.6772,71.55,68,100,0,light rain
Sarmanovo,RU,55.2553,52.5891,68.68,75,13,1.54,few clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,91,100,6.17,light rain
Butaritari,KI,3.0707,172.7902,82.67,74,96,10.58,overcast clouds
Manoel Urbano,BR,-8.8389,-69.2597,71.82,96,100,0.47,overcast clouds
Ostrovnoy,RU,68.0531,39.5131,61.32,86,100,16.08,overcast clouds
Daru,PG,-9.0763,143.2092,80.22,87,99,14.14,overcast clouds
Geraldton,AU,-28.7667,114.6,55.81,82,40,11.5,scattered clouds
Ihosy,MG,-22.4,46.1167,54.59,78,0,2.86,clear sky
Cacoal,BR,-11.4386,-61.4472,80.56,47,97,2.08,overcast clouds
San Cristobal,VE,7.7669,-72.225,69.98,99,100,2.86,overcast clouds
Aguimes,ES,27.9054,-15.4461,70.43,73,20,25.32,few clouds
Benjamin Constant,BR,-4.3831,-70.0311,72.81,98,99,1.5,overcast clouds
Alexandria,EG,31.2156,29.9553,78.1,73,0,10.25,clear sky
Itoman,JP,26.1247,127.6694,88.18,77,75,8.05,broken clouds
Bay Roberts,CA,47.5999,-53.2648,67.33,92,15,5.01,few clouds
Hofn,IS,64.2539,-15.2082,52.3,79,94,4.34,overcast clouds
Otradnoye,RU,59.7775,30.8181,69.96,82,79,5.86,broken clouds
Alice Springs,AU,-23.7,133.8833,62.15,27,0,12.66,clear sky
Manggar,ID,-2.8833,108.2667,82.29,71,100,7.9,overcast clouds
Sobradinho,BR,-12.8333,-39.1,65.98,96,22,2.24,few clouds
Upata,VE,8.0086,-62.3989,76.19,96,95,4.03,overcast clouds
Ussel,FR,45.55,2.3167,57.81,88,0,5.17,clear sky
Gamba,GA,-2.65,10,68.16,88,31,4.56,scattered clouds
Kouroussa,GN,10.65,-9.8833,71.65,95,100,6.02,light rain
Lokosovo,RU,61.1333,74.8167,62.74,86,100,3.04,light rain
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,70.39,64,20,13.42,few clouds
Upernavik,GL,72.7868,-56.1549,39.49,95,63,9.64,broken clouds
Pevek,RU,69.7008,170.3133,35.56,98,100,9.71,light rain
Praesto,DK,55.1178,12.0573,53.92,76,0,12.88,clear sky
Houma,US,29.5958,-90.7195,80.01,90,0,3.44,clear sky
North Bend,US,43.4065,-124.2243,75.24,91,0,17.27,clear sky
Barrow,US,71.2906,-156.7887,39.22,93,100,10.36,overcast clouds
Baykit,RU,61.67,96.37,53.62,73,100,4.61,overcast clouds
Taoudenni,ML,22.6783,-3.9836,98.53,17,14,10.98,few clouds
Gitarama,RW,-2.0744,29.7567,60.26,76,50,2.91,scattered clouds
Morehead,US,37.2711,-87.1764,76.95,95,0,0,clear sky
Maykor,RU,59.0059,55.88,61.34,76,52,3.33,broken clouds
Hasaki,JP,35.7333,140.8333,79.29,71,100,6.44,overcast clouds
Merrill,US,45.1805,-89.6835,71.78,77,0,4.61,clear sky
Bethel,US,41.3712,-73.414,80.76,82,0,0,clear sky
Fort-Shevchenko,KZ,44.5086,50.263,84.42,34,100,15.9,overcast clouds
Pangnirtung,CA,66.1451,-65.7125,41.85,96,100,1.45,light rain
Lebu,CL,-37.6167,-73.65,50.61,91,100,2.51,overcast clouds
Starodubskoye,RU,44.5631,44.0153,70.07,69,84,1.63,broken clouds
Teya,RU,60.3778,92.6267,56.01,64,100,3.47,overcast clouds
Nova Olimpia,BR,-14.7972,-57.2881,76.89,38,71,2.71,broken clouds
Aswan,EG,24.0934,32.907,88.36,23,81,8.68,broken clouds
Andenes,NO,69.3143,16.1194,51.93,87,20,3.44,few clouds
Sao Filipe,CV,14.8961,-24.4956,77.4,82,100,5.48,overcast clouds
Nara,JP,34.6851,135.8049,88.92,52,50,0.56,scattered clouds
Radhanpur,IN,23.8333,71.6,82.58,79,99,3.38,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,53.17,90,97,1.36,overcast clouds
Dikson,RU,73.5069,80.5464,41.88,100,100,9.57,overcast clouds
Yeppoon,AU,-23.1333,150.7333,71.38,73,55,3.31,broken clouds
Hailar,CN,49.2,119.7,72.46,53,100,15.52,overcast clouds
Ulladulla,AU,-35.35,150.4667,61.7,48,7,13.71,clear sky
Sawtell,AU,-30.3833,153.1,69.19,55,58,8.05,broken clouds
Port Lincoln,AU,-34.7333,135.8667,56.16,66,20,15.28,light rain
Mgandu,TZ,-5.95,34.1333,54.93,77,90,6.98,overcast clouds
Sur,OM,22.5667,59.5289,86.86,62,100,3.09,overcast clouds
Nantucket,US,41.2835,-70.0995,79,93,0,8.05,clear sky
Dingle,PH,10.9995,122.6711,82.22,77,100,4.16,overcast clouds
Olafsvik,IS,64.8945,-23.7142,52.09,93,100,14.83,light rain
Zhangjiakou,CN,40.81,114.8794,86.61,38,60,6.6,broken clouds
Betioky,MG,-23.7167,44.3833,64.15,75,94,1.14,overcast clouds
Ahipara,NZ,-35.1667,173.1667,61.36,70,83,8.14,broken clouds
Shinshiro,JP,34.9,137.5,84.36,75,100,8.43,overcast clouds
Saint-Denis,FR,48.9167,2.3333,61.29,62,0,6.91,clear sky
Pahrump,US,36.2083,-115.9839,89.26,44,59,3,broken clouds
Yorkton,CA,51.2167,-102.4677,56.26,72,90,20.8,overcast clouds
Tigre,AR,-34.426,-58.5796,55.4,81,0,2.3,clear sky
Port Elizabeth,ZA,-33.918,25.5701,53.31,84,28,8.95,scattered clouds
Chai Nat,TH,15.1167,100.1,77.92,84,100,8.77,overcast clouds
Bushehr,IR,28.9684,50.8385,90.66,77,2,9.24,clear sky
Eyl,SO,7.9803,49.8164,76.17,68,3,20.89,clear sky
Luderitz,NA,-26.6481,15.1594,60.37,58,100,2.86,overcast clouds
Khatanga,RU,71.9667,102.5,66.13,62,8,7.61,clear sky
Castleisland,IE,52.2333,-9.4667,47.82,93,19,1.66,few clouds
Terme,TR,41.2092,36.9739,73.33,82,95,2.84,overcast clouds
Hirara,JP,24.8,125.2833,84.67,72,73,9.15,broken clouds
Padang,ID,-0.9492,100.3543,82.45,66,21,0.87,few clouds
Wajir,KE,1.7471,40.0573,69.22,67,67,10.94,broken clouds
Khani,GE,41.9563,42.9566,63.97,93,85,0.67,overcast clouds
Chapais,CA,49.7834,-74.8492,57.97,58,100,6.06,overcast clouds
Faanui,PF,-16.4833,-151.75,77.2,79,55,23.62,light rain
Sistranda,NO,63.7256,8.834,51.76,85,100,22.5,light rain
Beringovskiy,RU,63.05,179.3167,54.66,65,62,3.53,broken clouds
Harper,LR,4.375,-7.7169,73.29,76,52,6.53,broken clouds
Maesteg,GB,51.6093,-3.6582,53.22,80,87,5.46,overcast clouds
Ucluelet,CA,48.9329,-125.5528,66.09,76,0,1.01,clear sky
Punta Alta,AR,-38.8759,-62.0736,44.65,75,100,7.23,overcast clouds
Saskylakh,RU,71.9167,114.0833,61.25,61,0,8.1,clear sky
Dubuque,US,42.4833,-90.8668,79.88,73,0,0,clear sky
Taltal,CL,-25.4,-70.4833,53.44,85,28,0.49,scattered clouds
Owosso,US,42.9978,-84.1766,77.58,86,0,3.44,clear sky
Port-Gentil,GA,-0.7193,8.7815,73.71,81,100,13.56,overcast clouds
Chuy,UY,-33.6971,-53.4616,44.74,91,0,3.87,clear sky
Isla Vista,US,34.4133,-119.861,80.35,59,0,4.61,clear sky
Aksehir,TR,38.3575,31.4164,69.21,79,0,4.29,clear sky
Arroyo,ES,41.6096,-4.7969,64.15,77,0,12.66,clear sky
Cocorit,MX,27.5833,-109.9667,86.34,62,100,5.73,overcast clouds
Powell,US,40.1578,-83.0752,75.81,86,75,4.61,broken clouds
Batagay-Alyta,RU,67.8006,130.4114,47.44,86,100,4.99,light rain
Gazalkent,UZ,41.5581,69.7708,79.92,25,0,4.03,clear sky
Vila Velha,BR,-20.3297,-40.2925,75.15,85,0,6.91,clear sky
Kavaratti,IN,10.5669,72.642,80.22,85,100,23.33,light rain
Oistins,BB,13.0667,-59.5333,82.49,78,20,16.11,few clouds
Maldonado,UY,-34.6667,-54.9167,40.39,89,5,0.65,clear sky
High Level,CA,58.5169,-117.136,72.48,41,20,4.18,few clouds
Bereda,ES,43.2686,-7.5406,61.57,100,100,8.39,overcast clouds
Kemijarvi,FI,66.7131,27.4306,57.7,98,100,0.85,light rain
Goderich,CA,43.7501,-81.7165,73.9,87,0,6.71,clear sky
Caravelas,BR,-17.7125,-39.2481,73.24,78,0,9.8,clear sky
Liepaja,LV,56.5419,21.0367,64.38,94,100,11.5,heavy intensity rain
Gwadar,PK,25.1216,62.3254,79.92,84,92,3.33,overcast clouds
Linkoping,SE,58.4109,15.6216,53.58,86,1,11.5,clear sky
Saginaw,US,43.3334,-84.0333,77.65,84,100,0,overcast clouds
Abha,SA,18.2164,42.5053,62.85,88,20,0,few clouds
Christchurch,NZ,-43.5333,172.6333,57.4,88,75,8.05,moderate rain
Zeya,RU,53.75,127.2667,59.5,99,100,4.7,heavy intensity rain
Rio Pardo,BR,-29.9897,-52.3781,46.44,89,3,4.27,clear sky
Azovskaya,RU,44.7908,38.6264,70.59,94,3,2.35,clear sky
Fenton,US,42.7978,-83.7049,77.68,85,40,6.91,scattered clouds
Deer Lake,CA,49.1667,-57.4316,66.65,93,96,6.11,overcast clouds
Saint-Joseph,RE,-21.3667,55.6167,63.21,72,12,5.88,few clouds
Sioux Lookout,CA,50.1001,-91.917,69.06,91,100,12.37,overcast clouds
Mayumba,GA,-3.432,10.6554,67.84,92,11,4.36,few clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,69.94,82,58,17.11,broken clouds
Rio Grande,BR,-32.035,-52.0986,41.95,83,0,5.1,clear sky
Necochea,AR,-38.5473,-58.7368,42.49,73,99,6.49,overcast clouds
Merauke,ID,-8.4667,140.3333,81.99,78,97,9.04,overcast clouds
Caborca,MX,30.5838,-111.101,91.08,39,78,7.87,broken clouds
Orlik,RU,52.5178,99.825,53.04,47,10,5.61,clear sky
Touros,BR,-5.1989,-35.4608,73.26,85,11,10.92,few clouds
Muros,ES,42.7762,-9.0603,69.1,74,81,11.97,broken clouds
Yaan,NG,7.3833,8.5667,73.18,86,100,3.96,overcast clouds
Hunsur,IN,12.3075,76.2878,68.4,95,100,9.78,overcast clouds
Shikhazany,RU,55.5605,47.393,64.44,76,7,3.18,clear sky
Pandan,PH,14.0453,124.1694,80.04,85,100,7.7,moderate rain
Tura,IN,25.5198,90.2201,75.34,96,98,5.01,overcast clouds
Debre Zeyit,ET,8.75,38.9833,61.93,86,100,4,overcast clouds
High Rock,BS,26.6208,-78.2833,84.11,70,5,14.63,clear sky
Safaga,EG,26.7292,33.9365,88.68,49,9,3.29,clear sky
Neubrandenburg,DE,53.5667,13.2667,53.19,90,28,9.62,scattered clouds
Kaitangata,NZ,-46.2817,169.8464,56.73,68,81,5.12,broken clouds
Amapa,BR,1,-52,70.52,99,11,2.08,few clouds
Digapahandi,IN,19.3667,84.5833,81.99,81,100,2.33,overcast clouds
Laiya,PH,13.675,121.3903,80.1,87,100,2.15,light rain
Ambilobe,MG,-13.2,49.05,60.91,88,61,3.83,broken clouds
Nan,TH,18.8333,100.6667,73.89,98,100,1.5,overcast clouds
Pangai,TO,-19.8,-174.35,77.09,83,100,15.19,light rain
Kyshtovka,RU,56.555,76.6271,65.05,74,47,5.14,scattered clouds
Fredericksburg,US,38.3032,-77.4605,75.15,87,40,4.61,scattered clouds
Moron,AR,-34.6534,-58.6198,55.15,77,0,3.56,clear sky
Sfantu Gheorghe,RO,45.8667,25.7833,67.26,81,8,1.83,clear sky
Kandrian,PG,-6.2167,149.55,85.42,67,100,5.79,light rain
